1788910860.390082 server started (40412): version 3.7c, socket /tmp/tmux-1000/default, protocol 8
1788910860.390092 on Linux 7.2.2-1-cachyos #1 SMP PREEMPT_DYNAMIC Fri, 28 Aug 2026 17:20:10 +0000
1788910860.390098 using libevent 2.1.13-stable poll
1788910860.390100 using ncurses 6.6 20251230
1788910860.390386 input_key_build: 0x810020000001b (M-Up[I]) is \033[1;3A
1788910860.390387 input_key_build: 0x810020000001c (M-Down[I]) is \033[1;3B
1788910860.390388 input_key_build: 0x810020000001d (M-Left[I]) is \033[1;3D
1788910860.390390 input_key_build: 0x810020000001e (M-Right[I]) is \033[1;3C
1788910860.390392 input_key_build: 0x8300200000008 (C-M-F1[I]) is \033[1;7P
1788910860.390393 input_key_build: 0x8300200000009 (C-M-F2[I]) is \033[1;7Q
1788910860.390395 input_key_build: 0x830020000000a (C-M-F3[I]) is \033[1;7R
1788910860.390396 input_key_build: 0x830020000000b (C-M-F4[I]) is \033[1;7S
1788910860.390398 input_key_build: 0x830020000000c (C-M-F5[I]) is \033[15;7~
1788910860.390399 input_key_build: 0x830020000000d (C-M-F6[I]) is \033[17;7~
1788910860.390401 input_key_build: 0x830020000000e (C-M-F7[I]) is \033[18;7~
1788910860.390402 input_key_build: 0x830020000000f (C-M-F8[I]) is \033[19;7~
1788910860.390404 input_key_build: 0x8300200000010 (C-M-F9[I]) is \033[20;7~
1788910860.390406 input_key_build: 0x8300200000011 (C-M-F10[I]) is \033[21;7~
1788910860.390407 input_key_build: 0x8300200000012 (C-M-F11[I]) is \033[23;7~
1788910860.390409 input_key_build: 0x8300200000013 (C-M-F12[I]) is \033[24;7~
1788910860.390410 input_key_build: 0x8300200000014 (C-M-IC[I]) is \033[2;7~
1788910860.390412 input_key_build: 0x8300200000015 (C-M-DC[I]) is \033[3;7~
1788910860.390413 input_key_build: 0x8300200000016 (C-M-Home[I]) is \033[1;7H
1788910860.390415 input_key_build: 0x8300200000017 (C-M-End[I]) is \033[1;7F
1788910860.390417 input_key_build: 0x8300200000018 (C-M-NPage[I]) is \033[6;7~
1788910860.390418 input_key_build: 0x8300200000019 (C-M-PPage[I]) is \033[5;7~
1788910860.390420 input_key_build: 0x830020000001b (C-M-Up[I]) is \033[1;7A
1788910860.390422 input_key_build: 0x830020000001c (C-M-Down[I]) is \033[1;7B
1788910860.390425 input_key_build: 0x830020000001d (C-M-Left[I]) is \033[1;7D
1788910860.390427 input_key_build: 0x830020000001e (C-M-Right[I]) is \033[1;7C
1788910860.390432 input_key_build: 0x8500200000008 (M-S-F1[I]) is \033[1;4P
1788910860.390434 input_key_build: 0x8500200000009 (M-S-F2[I]) is \033[1;4Q
1788910860.390437 input_key_build: 0x850020000000a (M-S-F3[I]) is \033[1;4R
1788910860.390439 input_key_build: 0x850020000000b (M-S-F4[I]) is \033[1;4S
1788910860.390441 input_key_build: 0x850020000000c (M-S-F5[I]) is \033[15;4~
1788910860.390443 input_key_build: 0x850020000000d (M-S-F6[I]) is \033[17;4~
1788910860.390445 input_key_build: 0x850020000000e (M-S-F7[I]) is \033[18;4~
1788910860.390447 input_key_build: 0x850020000000f (M-S-F8[I]) is \033[19;4~
1788910860.390448 input_key_build: 0x8500200000010 (M-S-F9[I]) is \033[20;4~
1788910860.390449 input_key_build: 0x8500200000011 (M-S-F10[I]) is \033[21;4~
1788910860.390451 input_key_build: 0x8500200000012 (M-S-F11[I]) is \033[23;4~
1788910860.390452 input_key_build: 0x8500200000013 (M-S-F12[I]) is \033[24;4~
1788910860.390454 input_key_build: 0x8500200000014 (M-S-IC[I]) is \033[2;4~
1788910860.390456 input_key_build: 0x8500200000015 (M-S-DC[I]) is \033[3;4~
1788910860.390457 input_key_build: 0x8500200000016 (M-S-Home[I]) is \033[1;4H
1788910860.390459 input_key_build: 0x8500200000017 (M-S-End[I]) is \033[1;4F
1788910860.390460 input_key_build: 0x8500200000018 (M-S-NPage[I]) is \033[6;4~
1788910860.390462 input_key_build: 0x8500200000019 (M-S-PPage[I]) is \033[5;4~
1788910860.390463 input_key_build: 0x850020000001b (M-S-Up[I]) is \033[1;4A
1788910860.390465 input_key_build: 0x850020000001c (M-S-Down[I]) is \033[1;4B
1788910860.390467 input_key_build: 0x850020000001d (M-S-Left[I]) is \033[1;4D
1788910860.390468 input_key_build: 0x850020000001e (M-S-Right[I]) is \033[1;4C
1788910860.390470 input_key_build: 0x8700200000008 (C-M-S-F1[I]) is \033[1;8P
1788910860.390472 input_key_build: 0x8700200000009 (C-M-S-F2[I]) is \033[1;8Q
1788910860.390474 input_key_build: 0x870020000000a (C-M-S-F3[I]) is \033[1;8R
1788910860.390475 input_key_build: 0x870020000000b (C-M-S-F4[I]) is \033[1;8S
1788910860.390477 input_key_build: 0x870020000000c (C-M-S-F5[I]) is \033[15;8~
1788910860.390479 input_key_build: 0x870020000000d (C-M-S-F6[I]) is \033[17;8~
1788910860.390480 input_key_build: 0x870020000000e (C-M-S-F7[I]) is \033[18;8~
1788910860.390482 input_key_build: 0x870020000000f (C-M-S-F8[I]) is \033[19;8~
1788910860.390484 input_key_build: 0x8700200000010 (C-M-S-F9[I]) is \033[20;8~
1788910860.390485 input_key_build: 0x8700200000011 (C-M-S-F10[I]) is \033[21;8~
1788910860.390487 input_key_build: 0x8700200000012 (C-M-S-F11[I]) is \033[23;8~
1788910860.390488 input_key_build: 0x8700200000013 (C-M-S-F12[I]) is \033[24;8~
1788910860.390490 input_key_build: 0x8700200000014 (C-M-S-IC[I]) is \033[2;8~
1788910860.390491 input_key_build: 0x8700200000015 (C-M-S-DC[I]) is \033[3;8~
1788910860.390493 input_key_build: 0x8700200000016 (C-M-S-Home[I]) is \033[1;8H
1788910860.390494 input_key_build: 0x8700200000017 (C-M-S-End[I]) is \033[1;8F
1788910860.390496 input_key_build: 0x8700200000018 (C-M-S-NPage[I]) is \033[6;8~
1788910860.390497 input_key_build: 0x8700200000019 (C-M-S-PPage[I]) is \033[5;8~
1788910860.390499 input_key_build: 0x870020000001b (C-M-S-Up[I]) is \033[1;8A
1788910860.390501 input_key_build: 0x870020000001c (C-M-S-Down[I]) is \033[1;8B
1788910860.390502 input_key_build: 0x870020000001d (C-M-S-Left[I]) is \033[1;8D
1788910860.390504 input_key_build: 0x870020000001e (C-M-S-Right[I]) is \033[1;8C
1788910860.390524 yylex_token: end at WS
1788910860.390525 yylex_token: bind
1788910860.390527 yylex_token: end at WS
1788910860.390528 yylex_token: -N
1788910860.390532 yylex_token: end at WS
1788910860.390533 yylex_token: Send the prefix key
1788910860.390535 yylex_token: end at WS
1788910860.390536 yylex_token: C-b
1788910860.390537 yylex_token: end at WS
1788910860.390538 yylex_token: send-prefix
1788910860.390541 cmd_parse_build_commands 0:0: bind
1788910860.390544 cmd_parse_build_commands 0:1: -N
1788910860.390546 cmd_parse_build_commands 0:2: Send the prefix key
1788910860.390547 cmd_parse_build_commands 0:3: C-b
1788910860.390549 cmd_parse_build_commands 0:4 0:0: send-prefix
1788910860.390554 cmd_parse_build_commands 0:0: send-prefix
1788910860.390559 args_parse: flags end at 1 of 1
1788910860.390561 cmd_parse_build_commands: send-prefix
1788910860.390563 args_parse_flags: next -N
1788910860.390564 args_parse_flag_argument: -N = Send the prefix key
1788910860.390566 args_parse_flags: next C-b
1788910860.390567 args_parse: flags end at 3 of 5
1788910860.390568 args_parse: 3 = C-b (type STRING)
1788910860.390570 args_parse: 4 = send-prefix (type COMMANDS)
1788910860.390575 cmd_parse_build_commands: bind-key -N "Send the prefix key" C-b { send-prefix }
1788910860.390577 cmdq_get_command: [bind-key/0x55cd85843300] group 6
1788910860.390579 cmdq_append <global>: [bind-key/0x55cd85843300]
1788910860.390580 yylex_token: end at WS
1788910860.390582 yylex_token: bind
1788910860.390583 yylex_token: end at WS
1788910860.390584 yylex_token: -N
1788910860.390586 yylex_token: end at WS
1788910860.390587 yylex_token: Rotate through the panes
1788910860.390588 yylex_token: end at WS
1788910860.390589 yylex_token: C-o
1788910860.390591 yylex_token: end at WS
1788910860.390592 yylex_token: rotate-window
1788910860.390594 cmd_parse_build_commands 0:0: bind
1788910860.390595 cmd_parse_build_commands 0:1: -N
1788910860.390596 cmd_parse_build_commands 0:2: Rotate through the panes
1788910860.390597 cmd_parse_build_commands 0:3: C-o
1788910860.390599 cmd_parse_build_commands 0:4 0:0: rotate-window
1788910860.390601 cmd_parse_build_commands 0:0: rotate-window
1788910860.390603 args_parse: flags end at 1 of 1
1788910860.390604 cmd_parse_build_commands: rotate-window
1788910860.390606 args_parse_flags: next -N
1788910860.390607 args_parse_flag_argument: -N = Rotate through the panes
1788910860.390608 args_parse_flags: next C-o
1788910860.390610 args_parse: flags end at 3 of 5
1788910860.390611 args_parse: 3 = C-o (type STRING)
1788910860.390613 args_parse: 4 = rotate-window (type COMMANDS)
1788910860.390616 cmd_parse_build_commands: bind-key -N "Rotate through the panes" C-o { rotate-window }
1788910860.390618 cmdq_get_command: [bind-key/0x55cd85843840] group 14
1788910860.390619 cmdq_append <global>: [bind-key/0x55cd85843840]
1788910860.390621 yylex_token: end at WS
1788910860.390622 yylex_token: bind
1788910860.390623 yylex_token: end at WS
1788910860.390624 yylex_token: -N
1788910860.390626 yylex_token: end at WS
1788910860.390627 yylex_token: Suspend the current client
1788910860.390628 yylex_token: end at WS
1788910860.390629 yylex_token: C-z
1788910860.390631 yylex_token: end at WS
1788910860.390632 yylex_token: suspend-client
1788910860.390634 cmd_parse_build_commands 0:0: bind
1788910860.390635 cmd_parse_build_commands 0:1: -N
1788910860.390636 cmd_parse_build_commands 0:2: Suspend the current client
1788910860.390637 cmd_parse_build_commands 0:3: C-z
1788910860.390639 cmd_parse_build_commands 0:4 0:0: suspend-client
1788910860.390641 cmd_parse_build_commands 0:0: suspend-client
1788910860.390644 args_parse: flags end at 1 of 1
1788910860.390645 cmd_parse_build_commands: suspend-client
1788910860.390646 args_parse_flags: next -N
1788910860.390648 args_parse_flag_argument: -N = Suspend the current client
1788910860.390649 args_parse_flags: next C-z
1788910860.390650 args_parse: flags end at 3 of 5
1788910860.390651 args_parse: 3 = C-z (type STRING)
1788910860.390653 args_parse: 4 = suspend-client (type COMMANDS)
1788910860.390655 cmd_parse_build_commands: bind-key -N "Suspend the current client" C-z { suspend-client }
1788910860.390665 cmdq_get_command: [bind-key/0x55cd85843e60] group 22
1788910860.390667 cmdq_append <global>: [bind-key/0x55cd85843e60]
1788910860.390668 yylex_token: end at WS
1788910860.390669 yylex_token: bind
1788910860.390671 yylex_token: end at WS
1788910860.390672 yylex_token: -N
1788910860.390673 yylex_token: end at WS
1788910860.390674 yylex_token: Select next layout
1788910860.390677 yylex_token: end at WS
1788910860.390679 yylex_token: Space
1788910860.390680 yylex_token: end at WS
1788910860.390681 yylex_token: next-layout
1788910860.390683 cmd_parse_build_commands 0:0: bind
1788910860.390684 cmd_parse_build_commands 0:1: -N
1788910860.390686 cmd_parse_build_commands 0:2: Select next layout
1788910860.390687 cmd_parse_build_commands 0:3: Space
1788910860.390688 cmd_parse_build_commands 0:4 0:0: next-layout
1788910860.390690 cmd_parse_build_commands 0:0: next-layout
1788910860.390692 args_parse: flags end at 1 of 1
1788910860.390694 cmd_parse_build_commands: next-layout
1788910860.390695 args_parse_flags: next -N
1788910860.390696 args_parse_flag_argument: -N = Select next layout
1788910860.390697 args_parse_flags: next Space
1788910860.390699 args_parse: flags end at 3 of 5
1788910860.390700 args_parse: 3 = Space (type STRING)
1788910860.390701 args_parse: 4 = next-layout (type COMMANDS)
1788910860.390705 cmd_parse_build_commands: bind-key -N "Select next layout" Space { next-layout }
1788910860.390706 cmdq_get_command: [bind-key/0x55cd858442f0] group 30
1788910860.390708 cmdq_append <global>: [bind-key/0x55cd858442f0]
1788910860.390709 yylex_token: end at WS
1788910860.390710 yylex_token: bind
1788910860.390711 yylex_token: end at WS
1788910860.390712 yylex_token: -N
1788910860.390714 yylex_token: end at WS
1788910860.390715 yylex_token: Break pane to a new window
1788910860.390716 yylex_token: end at WS
1788910860.390718 yylex_token: !
1788910860.390719 yylex_token: end at WS
1788910860.390720 yylex_token: break-pane
1788910860.390722 cmd_parse_build_commands 0:0: bind
1788910860.390723 cmd_parse_build_commands 0:1: -N
1788910860.390724 cmd_parse_build_commands 0:2: Break pane to a new window
1788910860.390726 cmd_parse_build_commands 0:3: !
1788910860.390727 cmd_parse_build_commands 0:4 0:0: break-pane
1788910860.390728 cmd_parse_build_commands 0:0: break-pane
1788910860.390730 args_parse: flags end at 1 of 1
1788910860.390731 cmd_parse_build_commands: break-pane
1788910860.390733 args_parse_flags: next -N
1788910860.390734 args_parse_flag_argument: -N = Break pane to a new window
1788910860.390735 args_parse_flags: next !
1788910860.390736 args_parse: flags end at 3 of 5
1788910860.390738 args_parse: 3 = ! (type STRING)
1788910860.390739 args_parse: 4 = break-pane (type COMMANDS)
1788910860.390742 cmd_parse_build_commands: bind-key -N "Break pane to a new window" ! { break-pane }
1788910860.390744 cmdq_get_command: [bind-key/0x55cd858447d0] group 38
1788910860.390745 cmdq_append <global>: [bind-key/0x55cd858447d0]
1788910860.390746 yylex_token: end at WS
1788910860.390747 yylex_token: bind
1788910860.390749 yylex_token: end at WS
1788910860.390750 yylex_token: -N
1788910860.390751 yylex_token: end at WS
1788910860.390752 yylex_token: Split window vertically
1788910860.390754 yylex_token: end at WS
1788910860.390755 yylex_token: "
1788910860.390756 yylex_token: end at WS
1788910860.390757 yylex_token: split-window
1788910860.390759 cmd_parse_build_commands 0:0: bind
1788910860.390760 cmd_parse_build_commands 0:1: -N
1788910860.390761 cmd_parse_build_commands 0:2: Split window vertically
1788910860.390763 cmd_parse_build_commands 0:3: "
1788910860.390764 cmd_parse_build_commands 0:4 0:0: split-window
1788910860.390766 cmd_parse_build_commands 0:0: split-window
1788910860.390768 args_parse: flags end at 1 of 1
1788910860.390770 cmd_parse_build_commands: split-window
1788910860.390771 args_parse_flags: next -N
1788910860.390772 args_parse_flag_argument: -N = Split window vertically
1788910860.390773 args_parse_flags: next "
1788910860.390775 args_parse: flags end at 3 of 5
1788910860.390776 args_parse: 3 = " (type STRING)
1788910860.390777 args_parse: 4 = split-window (type COMMANDS)
1788910860.390780 cmd_parse_build_commands: bind-key -N "Split window vertically" \\" { split-window }
1788910860.390782 cmdq_get_command: [bind-key/0x55cd85844d60] group 46
1788910860.390783 cmdq_append <global>: [bind-key/0x55cd85844d60]
1788910860.390784 yylex_token: end at WS
1788910860.390787 yylex_token: bind
1788910860.390788 yylex_token: end at WS
1788910860.390789 yylex_token: -N
1788910860.390791 yylex_token: end at WS
1788910860.390792 yylex_token: List all paste buffers
1788910860.390793 yylex_token: end at WS
1788910860.390796 yylex_token: #
1788910860.390797 yylex_token: end at WS
1788910860.390798 yylex_token: list-buffers
1788910860.390800 cmd_parse_build_commands 0:0: bind
1788910860.390801 cmd_parse_build_commands 0:1: -N
1788910860.390802 cmd_parse_build_commands 0:2: List all paste buffers
1788910860.390804 cmd_parse_build_commands 0:3: #
1788910860.390805 cmd_parse_build_commands 0:4 0:0: list-buffers
1788910860.390808 cmd_parse_build_commands 0:0: list-buffers
1788910860.390810 args_parse: flags end at 1 of 1
1788910860.390811 cmd_parse_build_commands: list-buffers
1788910860.390813 args_parse_flags: next -N
1788910860.390814 args_parse_flag_argument: -N = List all paste buffers
1788910860.390815 args_parse_flags: next #
1788910860.390816 args_parse: flags end at 3 of 5
1788910860.390818 args_parse: 3 = # (type STRING)
1788910860.390819 args_parse: 4 = list-buffers (type COMMANDS)
1788910860.390821 cmd_parse_build_commands: bind-key -N "List all paste buffers" \\# { list-buffers }
1788910860.390823 cmdq_get_command: [bind-key/0x55cd85845240] group 54
1788910860.390824 cmdq_append <global>: [bind-key/0x55cd85845240]
1788910860.390826 yylex_token: end at WS
1788910860.390827 yylex_token: bind
1788910860.390828 yylex_token: end at WS
1788910860.390829 yylex_token: -N
1788910860.390830 yylex_token: end at WS
1788910860.390831 yylex_token: Rename current session
1788910860.390833 yylex_token: end at WS
1788910860.390834 yylex_token: $
1788910860.390835 yylex_token: end at WS
1788910860.390836 yylex_token: command-prompt
1788910860.390837 yylex_token: end at WS
1788910860.390839 yylex_token: -I#S
1788910860.390840 yylex_token: end at WS
1788910860.390841 yylex_token: rename-session
